%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1485999162625651263,1.83513903618,0.0,0.0,0.0,0.0,-0.0
1485999162629407878,1.77330851555,0.0,0.0,0.0,0.0,-0.0
1485999162633391575,1.71141695976,0.0,0.0,0.0,0.0,-0.0
1485999162637425794,1.56706440449,0.0,0.0,0.0,0.0,-0.0
1485999162641475117,1.46397292614,0.0,0.0,0.0,0.0,-0.0
1485999162645648867,1.40214240551,0.0,0.0,0.0,0.0,-0.0
1485999162649621471,1.38151192665,0.0,0.0,0.0,0.0,-0.0
1485999162653461159,1.34025084972,0.0,0.0,0.0,0.0,-0.0
1485999162657461419,1.27842032909,0.0,0.0,0.0,0.0,-0.0
1485999162661755273,1.21658980846,0.0,0.0,0.0,0.0,-0.0
1485999162665517200,1.17532885075,0.0,0.0,0.0,0.0,-0.0
1485999162669921419,1.13406777382,0.0,0.0,0.0,0.0,-0.0
1485999162673632773,1.03097629547,0.0,0.0,0.0,0.0,-0.0
1485999162677453034,0.948515295982,0.0,0.0,0.0,0.0,-0.0
1485999162681467253,0.90725427866,0.0,0.0,0.0,0.0,-0.0
1485999162685542773,0.84542375803,0.0,0.0,0.0,0.0,-0.0
1485999162689524961,0.804162740707,0.0,0.0,0.0,0.0,-0.0
1485999162694166159,0.742332220078,0.0,0.0,0.0,0.0,-0.0
1485999162699385534,0.680440664291,0.0,0.0,0.0,0.0,-0.0
1485999162701593242,0.639240682125,0.0,0.0,0.0,0.0,-0.0
1485999162705936471,0.536149203777,0.0,0.0,0.0,0.0,-0.0
1485999162709818450,0.515518665314,0.0,0.0,0.0,0.0,-0.0
1485999162713734127,0.474257647991,0.0,0.0,0.0,0.0,-0.0
1485999162717578659,0.412427127361,0.0,0.0,0.0,0.0,-0.0
1485999162722008034,0.371166110039,0.0,0.0,0.0,0.0,-0.0
1485999162725712565,0.350535601377,0.0,0.0,0.0,0.0,-0.0
1485999162729557669,0.309335619211,0.0,0.0,0.0,0.0,-0.0
1485999162733507096,0.268074601889,0.0,0.0,0.0,0.0,-0.0
1485999162737465638,0.247444078326,0.0,0.0,0.0,0.0,-0.0
1485999162741534961,0.206244081259,0.0,0.0,0.0,0.0,-0.0
1485999162745560325,0.185613572598,0.0,0.0,0.0,0.0,-0.0
1485999162753498190,0.144352555275,0.0,0.0,0.0,0.0,-0.0
1485999162765531784,0.103152565658,0.0,0.0,0.0,0.0,-0.0
1485999162781575117,0.0825220495462,0.0,0.0,0.0,0.0,-0.0
1485999162841874492,0.185613572598,0.0,0.0,0.0,0.0,-0.0
1485999162853536575,0.206244081259,0.0,0.0,0.0,0.0,-0.0
1485999162857519596,0.247444078326,0.0,0.0,0.0,0.0,-0.0
1485999162861729857,0.268074601889,0.0,0.0,0.0,0.0,-0.0
1485999162865431055,0.309335619211,0.0,0.0,0.0,0.0,-0.0
1485999162869427200,0.350535601377,0.0,0.0,0.0,0.0,-0.0
1485999162873498502,0.371166110039,0.0,0.0,0.0,0.0,-0.0
1485999162877876002,0.45362713933,0.0,0.0,0.0,0.0,-0.0
1485999162881482513,0.515518665314,0.0,0.0,0.0,0.0,-0.0
1485999162885569805,0.577349185944,0.0,0.0,0.0,0.0,-0.0
1485999162889565013,0.680440664291,0.0,0.0,0.0,0.0,-0.0
1485999162893983919,0.742332220078,0.0,0.0,0.0,0.0,-0.0
1485999162897699180,0.84542375803,0.0,0.0,0.0,0.0,-0.0
1485999162902059440,0.866054236889,0.0,0.0,0.0,0.0,-0.0
1485999162905586680,0.948515295982,0.0,0.0,0.0,0.0,-0.0
1485999162909777617,1.01034581661,0.0,0.0,0.0,0.0,-0.0
1485999162914031419,1.03097629547,0.0,0.0,0.0,0.0,-0.0
1485999162917501679,1.11343729496,0.0,0.0,0.0,0.0,-0.0
1485999162921446107,1.13406777382,0.0,0.0,0.0,0.0,-0.0
1485999162926390065,1.17532885075,0.0,0.0,0.0,0.0,-0.0
1485999162933575638,1.21658980846,0.0,0.0,0.0,0.0,-0.0
1485999162937461836,1.23715937138,0.0,0.0,0.0,0.0,-0.0
1485999162945565794,1.27842032909,0.0,0.0,0.0,0.0,-0.0
1485999162965584075,1.29905092716,0.0,0.0,0.0,0.0,-0.0
1485999162973643190,1.34025084972,0.0,0.0,0.0,0.0,-0.0
1485999162981884596,1.38151192665,0.0,0.0,0.0,0.0,-0.0
1485999162994193034,1.40214240551,0.0,0.0,0.0,0.0,-0.0
1485999163006197096,1.44340348244,0.0,0.0,0.0,0.0,0.0198052918911
1485999163009492461,1.44340348244,0.0,0.0,0.0,0.0,0.0495132315159
1485999163013489752,1.44340348244,0.0,0.0,0.0,0.0,0.069289226532
1485999163017479857,1.44340348244,0.0,0.0,0.0,0.0,0.0989971590042
1485999163021525846,1.46397292614,0.0,0.0,0.0,0.0,0.0989971590042
1485999163025795950,1.50523388386,0.0,0.0,0.0,0.0,0.118773157597
1485999163029444075,1.54649496078,0.0,0.0,0.0,0.0,0.138578453064
1485999163033374700,1.60832548141,0.0,0.0,0.0,0.0,0.168257088661
1485999163037471159,1.60832548141,0.0,0.0,0.0,0.0,0.188062376976
1485999163041446836,1.67015600204,0.0,0.0,0.0,0.0,0.188062376976
1485999163045430586,1.71141695976,0.0,0.0,0.0,0.0,0.207867665291
1485999163049466523,1.73204743862,0.0,0.0,0.0,0.0,0.207867665291
1485999163053439492,1.73204743862,0.0,0.0,0.0,0.0,0.217741026878
1485999163057476367,1.81450855732,0.0,0.0,0.0,0.0,0.217741026878
1485999163065568398,1.83513903618,0.0,0.0,0.0,0.0,0.217741026878
1485999163069424961,1.8763999939,0.0,0.0,0.0,0.0,0.217741026878
1485999163073491627,1.89696955681,0.0,0.0,0.0,0.0,0.237546315193
1485999163077509336,1.93823051453,0.0,0.0,0.0,0.0,0.237546315193
1485999163081470586,1.97949159145,0.0,0.0,0.0,0.0,0.237546315193
1485999163089509179,2.0,0.0,0.0,0.0,0.0,0.237546315193
1485999163177547409,2.0,0.0,0.0,0.0,0.0,0.188062376976
1485999163186091784,2.0,0.0,0.0,0.0,0.0,0.168257088661
1485999163189484752,2.0,0.0,0.0,0.0,0.0,0.138578453064
1485999163193457513,2.0,0.0,0.0,0.0,0.0,0.118773157597
1485999163197972356,2.0,0.0,0.0,0.0,0.0,0.0890945148468
1485999163202957929,2.0,0.0,0.0,0.0,0.0,0.0495132315159
1485999163206686471,2.0,0.0,0.0,0.0,0.0,-0.0
1485999163217613190,1.97949159145,0.0,0.0,0.0,0.0,-0.0
1485999163221513919,1.93823051453,0.0,0.0,0.0,0.0,-0.0
1485999163225703867,1.8763999939,0.0,0.0,0.0,0.0,-0.0
1485999163229461367,1.83513903618,0.0,0.0,0.0,0.0,-0.0
1485999163237714700,1.81450855732,0.0,0.0,0.0,0.0,-0.0
1485999163248087877,1.77330851555,0.0,0.0,0.0,0.0,-0.0
1485999163250108919,1.73204743862,0.0,0.0,0.0,0.0,-0.0
1485999163257861471,1.71141695976,0.0,0.0,0.0,0.0,-0.0
1485999163389594752,1.67015600204,0.0,0.0,0.0,0.0,-0.0
1485999163397498190,1.62895596027,0.0,0.0,0.0,0.0,-0.0
1485999163401523919,1.60832548141,0.0,0.0,0.0,0.0,-0.0
1485999163405492825,1.54649496078,0.0,0.0,0.0,0.0,-0.0
1485999163409480742,1.46397292614,0.0,0.0,0.0,0.0,-0.0
1485999163413444700,1.44340348244,0.0,0.0,0.0,0.0,-0.0
1485999163417468398,1.40214240551,0.0,0.0,0.0,0.0,-0.0
1485999163421502408,1.38151192665,0.0,0.0,0.0,0.0,-0.0
1485999163425572565,1.34025084972,0.0,0.0,0.0,0.0,-0.0
1485999163433506158,1.27842032909,0.0,0.0,0.0,0.0,-0.0
1485999163437669492,1.21658980846,0.0,0.0,0.0,0.0,-0.0
1485999163441481211,1.17532885075,0.0,0.0,0.0,0.0,-0.0
1485999163445589700,1.13406777382,0.0,0.0,0.0,0.0,-0.0
1485999163449616419,1.11343729496,0.0,0.0,0.0,0.0,-0.0
1485999163453734648,1.01034581661,0.0,0.0,0.0,0.0,-0.0
1485999163457468763,0.90725427866,0.0,0.0,0.0,0.0,-0.0
1485999163461691002,0.866054236889,0.0,0.0,0.0,0.0,-0.0
1485999163465608763,0.84542375803,0.0,0.0,0.0,0.0,-0.0
1485999163469537304,0.783532202244,0.0,0.0,0.0,0.0,-0.0
1485999163473525690,0.701071202755,0.0,0.0,0.0,0.0,-0.0
1485999163477544075,0.680440664291,0.0,0.0,0.0,0.0,-0.0
1485999163481544752,0.639240682125,0.0,0.0,0.0,0.0,-0.0
1485999163485540013,0.577349185944,0.0,0.0,0.0,0.0,-0.0
1485999163489555013,0.536149203777,0.0,0.0,0.0,0.0,-0.0
1485999163529643346,0.618610203266,0.0,0.0,0.0,0.0,-0.0
1485999163533861263,0.639240682125,0.0,0.0,0.0,0.0,-0.0
1485999163537522565,0.680440664291,0.0,0.0,0.0,0.0,-0.0
1485999163546055794,0.742332220078,0.0,0.0,0.0,0.0,-0.0
1485999163549566679,0.804162740707,0.0,0.0,0.0,0.0,-0.0
1485999163553567877,0.866054236889,0.0,0.0,0.0,0.0,-0.0
1485999163557557721,0.948515295982,0.0,0.0,0.0,0.0,-0.0
1485999163561495742,1.01034581661,0.0,0.0,0.0,0.0,-0.0
1485999163565441627,1.11343729496,0.0,0.0,0.0,0.0,-0.0
1485999163569540690,1.17532885075,0.0,0.0,0.0,0.0,-0.0
1485999163573564960,1.27842032909,0.0,0.0,0.0,0.0,-0.0
1485999163577686419,1.34025084972,0.0,0.0,0.0,0.0,-0.0
1485999163581524492,1.40214240551,0.0,0.0,0.0,0.0,-0.0
1485999163585506575,1.44340348244,0.0,0.0,0.0,0.0,-0.0
1485999163589492669,1.60832548141,0.0,0.0,0.0,0.0,-0.0
1485999163593547200,1.77330851555,0.0,0.0,0.0,0.0,-0.0
1485999163597635117,1.8763999939,0.0,0.0,0.0,0.0,-0.0
1485999163601645742,2.0,0.0,0.0,0.0,0.0,-0.0
1485999163769862304,1.97949159145,0.0,0.0,0.0,0.0,-0.0
1485999163773711367,1.8763999939,0.0,0.0,0.0,0.0,-0.0
1485999163777998710,1.81450855732,0.0,0.0,0.0,0.0,-0.0
1485999163781503190,1.71141695976,0.0,0.0,0.0,0.0,-0.0
1485999163785492044,1.56706440449,0.0,0.0,0.0,0.0,-0.0
1485999163789563085,1.46397292614,0.0,0.0,0.0,0.0,-0.0
1485999163793573554,1.40214240551,0.0,0.0,0.0,0.0,-0.0
1485999163798984492,1.38151192665,0.0,0.0,0.0,0.0,-0.0
1485999163805634908,1.34025084972,0.0,0.0,0.0,0.0,-0.0
1485999163809472200,1.29905092716,0.0,0.0,0.0,0.0,-0.0
1485999163813467044,1.27842032909,0.0,0.0,0.0,0.0,-0.0
1485999163817532512,1.23715937138,0.0,0.0,0.0,0.0,-0.0
1485999163821535065,1.21658980846,0.0,0.0,0.0,0.0,-0.0
1485999163841714179,1.17532885075,0.0,0.0,0.0,0.0,-0.0
1485999163926219856,1.27842032909,0.0,0.0,0.0,0.0,-0.0
1485999163929734492,1.29905092716,0.0,0.0,0.0,0.0,-0.0
1485999163933542200,1.34025084972,0.0,0.0,0.0,0.0,-0.0
1485999163937632148,1.38151192665,0.0,0.0,0.0,0.0,-0.0
1485999163941558085,1.40214240551,0.0,0.0,0.0,0.0,-0.0
1485999163945865221,1.44340348244,0.0,0.0,0.0,0.0,-0.0
1485999163949694960,1.46397292614,0.0,0.0,0.0,0.0,-0.0
1485999163953828294,1.56706440449,0.0,0.0,0.0,0.0,-0.0
1485999163958138294,1.67015600204,0.0,0.0,0.0,0.0,-0.0
1485999163961730117,1.73204743862,0.0,0.0,0.0,0.0,0.0297079378366
1485999163965720117,1.81450855732,0.0,0.0,0.0,0.0,0.069289226532
1485999163969702773,1.8763999939,0.0,0.0,0.0,0.0,0.0890945148468
1485999163973633033,1.93823051453,0.0,0.0,0.0,0.0,0.0989971590042
1485999163978522200,2.0,0.0,0.0,0.0,0.0,0.118773157597
1485999163981656783,2.0,0.0,0.0,0.0,0.0,0.148481097221
1485999163985796419,2.0,0.0,0.0,0.0,0.0,0.168257088661
1485999163993489127,2.0,0.0,0.0,0.0,0.0,0.207867665291
1485999163997644075,2.0,0.0,0.0,0.0,0.0,0.257351617813
1485999164001470794,2.0,0.0,0.0,0.0,0.0,0.287030239105
1485999164005466679,2.0,0.0,0.0,0.0,0.0,0.30683552742
1485999164009384231,2.0,0.0,0.0,0.0,0.0,0.316738185883
1485999164013384335,2.0,0.0,0.0,0.0,0.0,0.356319465637
1485999164017505846,2.0,0.0,0.0,0.0,0.0,0.405803403854
1485999164021464596,2.0,0.0,0.0,0.0,0.0,0.455287342072
