dt 16.7
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
u 0.989776313305 0.96
end
